Título PT-BR,Descrição,Nota TMDb,Data Lançamento,Gêneros,Duração (min)
Jornada nas Estrelas II: A Ira de Khan,"Sentido que o futuro em nada se parece com o passado que vivemos, o Almirante James T. Kirk começa a acreditar que cavalgar pelo cosmos é um jogo para os jovens. Até que numa viagem de rotina para inspecionar a U.S.S. Enterprise, a carreira de Kirk na Frota Estelar entra em um novo capítulo quando surge um antigo inimigo, Khan Noonien Singh, um conquistador do século 20 geneticamente alterado. Escapando de sua prisão, Khan planeja capturar o Projeto Genesis, um artefato que pode criar e destruir um planeta num piscar de olhos, e destruir seu velho ""amigo"", Kirk.",7.456,1982-06-04,"Ação, Aventura, Ficção científica, Thriller",112
Rambo: Programado Para Matar,"Quando o ex-Boina Verde John Rambo é assediado pelas autoridades locais e preso por vadiagem, ele é forçado a fugir para as montanhas e travar uma guerra crescente de um homem só contra seus perseguidores.",7.49,1982-10-22,"Ação, Aventura, Thriller, Guerra",94
Gente Como a Gente,"A morte prematura em um acidente de um dos filhos de uma família de classe média alta acaba afetando a todos, principalmente o irmão da vítima, que se considera responsável pelo ocorrido e está em tratamento psiquiátrico. No entanto, a mãe faz questão de manter as aparências, para não dar a entender que a unidade familiar foi quebrada.",7.47,1980-09-19,Drama,124
"Apertem os Cintos, o Piloto Sumiu","O piloto Ted Striker, ex-combatente de guerra, é forçado a assumir os controles de um avião quando a tripulação sucumbe à comida contaminada. Elaine, sua namorada, tem de ser aeromoça e co-piloto. Juntos, eles vão tentar salvar os passageiros e terminar o voo com sucesso, mas existe um problema: ele é neurótico.",7.3,1980-07-02,Comédia,88
Halloween - A Noite do Terror,"Na noite de Halloween de 1963, Michael Myers, de seis anos, assassina brutalmente sua irmã. Preso em uma instituição para doentes mentais sob os cuidados do dr. Sam Loomis, Michael cresce apenas para odiar. Em outubro de 1978, ele foge do hospital, seguido pelo dr. Loomis, que sabe que Michael vai matar novamente. O psicopata passa a perseguir a adolescente Laurie Strode e seus amigos, e prepara seu ataque mortal para a noite de Halloween.",7.562,1978-10-24,"Terror, Thriller",91
Nashville,"A história de vários personagens ligados ao mundo da música se cruza na cidade de Nashville, capital do Tennessee. Barbara Jean é considerada a rainha do local, mas está à beira de um colapso; Linnea e Delbert Reese mantém um casamento instável e possuem filho deficiente; Opal é um jornalista britânico a trabalho na cidade. Clássico dirigido por Altman, indicado em cinco categorias do Oscar e ganhador da estatueta de melhor canção - ""I'm Easy"", de Keith Carradine.",7.225,1975-06-11,"Drama, Música, Comédia",160
A Última Noite de Bóris Grushenko,"Um russo (Woody Allen), na véspera de ser executado pelo franceses por um assassinato que não cometeu, recorda toda a sua vida desde criança até ser forçado a se alistar e defender seu país da invasão napoleônica, que ironicamente lhe propiciou condecorações quando se tornou acidentalmente um herói. No entanto sua situação se complica, pois se casa com a mulher que sempre amou, mas esta planeja matar Napoleão.",7.5,1975-06-10,Comédia,85
Banzé no Oeste,"Rock Ridge é uma pequena cidade do oeste americano onde todos os seus moradores se chamam Johnson. A estrada de ferro está prestes a passar pelo local, o que faz com que Hedley Lamarr (Harvey Korman) aterrorize os moradores. Sua intenção é obter as terras da cidade, que serão bastante valorizadas após a conclusão das obras. Para controlar a situação, o governador William J. Lepetomane (Mel Brooks) contrata um novo xerife, Bart (Cleavon Little). Só que Bart é negro e passa a ser hostilizado pela população racista. Ele recebe apenas a ajuda de Jim (Gene Wilder), conhecido como The Waco Kid, o pistoleiro bêbado mais rápido da região.",7.244,1974-02-07,"Faroeste, Comédia",93
Serpico,"Frank Serpico, um policial idealista da cidade de Nova Iorque, se recusa a receber subornos, ao contrário do resto dos policiais. Por causa disso, ele acaba sempre sendo colocado em situações perigosas por seus parceiros. Quando seus superiores ignoram as acusações de corrupção de Frank, ele decide fazer suas acusações publicamente. Mesmo com a Comissão Knapp investigando o caso, Frank agora é um alvo. O filme é baseado em uma história verídica.",7.536,1973-12-18,"Crime, Drama",130
Terra de Ninguém,"Fort Dupree, Dakota do Sul, 1959. Kit Carruthers é um jovem peão psicologicamente desequilibrado, que mata o pai de Holly Sargis, sua namorada de 15 anos, que não aprovava o relacionamento deles. Kit e Holly fogem juntos para Montana, enquanto Carruthers faz mais vítimas, o que faz a polícia ir em seu encalço.",7.479,1974-01-05,"Crime, Drama, Romance",94
Amargo Pesadelo,"O Rio Chatooga nos montes Apalaches vai ser represado e com isso um lindo vale será destruído. Como última aventura, quatro amigos: Lewis Medlock, Ed Gentry, Drew Ballinger e Bobby Trippe, homens extremamente urbanos, resolvem fazer uma última aventura descendo as corredeiras do rio, em busca de adrenalina, emoção e maior contato com a natureza. Essa aventura começa a se complicar quando dois desses amigos tomam a dianteira no rio, distanciando-se dos outros. Uma série de ameaças às suas vidas estão aparecendo... difícil vai ser escapar delas...",7.306,1972-08-18,"Drama, Aventura, Thriller",109
Operação França,"Jimmy Doyle e Buddy Russo são dois policiais de Nova York que estão no encalço de uma quadrilha de tráfico de drogas. O primeiro, que confia no olfato, suspeita que uma confeitaria do Brooklyn esteja envolvida e convence seu chefe a grampear a linha telefônica. Logo depois, Doyle e seus homens seguem o dono da confeitaria, que os leva até Nicoly e Charnier, dois franceses que acabaram de chegar aos Estados Unidos.",7.493,1971-10-09,"Ação, Crime, Thriller",104
Perseguidor Implacável,"O policial Harry Callahan tenta rastrear um assassino psicopata num terraço antes que uma garota sequestrada morra. Quando o encontra, Harry abusa do direito civil do assassino, o que o coloca de volta nas ruas. Um ônibus escolar é sequestrado e Harry sai à busca do assassino novamente e a única maneira de pará-lo é a sangue frio.",7.4,1971-12-23,"Ação, Crime, Thriller",102
Um Clarão nas Trevas,"Uma boneca recheada de heroína é a razão desta trama que envolve Roat (Alan Arkin), um frio assassino psicopata, e Susy (Audrey Hepburn), uma moça que ficou cega e ainda não aprendeu a viver na escuridão. Seus caminhos se cruzam em uma noite de medo e agonia, onde a escuridão é a única chance de fuga para Susy.",7.3,1967-10-26,"Thriller, Terror",108
Os Doze Condenados,"Durante a Segunda Guerra Mundial, um comandante do exército norte-americano tem a missão de treinar e liderar um grupo de doze condenados pela corte marcial em uma missão que envolve a morte de oficiais alemães. Se eles sobreviverem à missão suicida, terão suas penas relaxadas.",7.598,1967-06-15,"Ação, Aventura, Guerra",150
Bonnie e Clyde: Uma Rajada de Balas,"Durante a Grande Depressão, Bonnie Parker conhece Clyde Barrow, um ex-presidiário que foi solto por bom comportamento, quando este tenta roubar o carro de sua mãe. Atraída pelo rapaz, ela o acompanha. Ambos iniciam uma carreira de crimes, assaltando bancos e roubando automóveis.",7.492,1967-08-13,"Crime, Drama",152
A Bela da Tarde,"Séverine é bela, jovem, rica e frustrada com a vida que tem. Com o marido trabalhando o dia todo a moça resolve trabalhar num discreto prostíbulo todos os dias a tarde, o momento em que pode largar sua vida real e se tornar a Bela da Tarde sem que ninguém saiba. O problema é que os clientes que recebe são pessoas que podem estar tentando fugir da mesma vida vazia que ela.",7.346,1967-05-24,"Drama, Romance",101
O Homem Que Não Vendeu Sua Alma,"Quando a primeira esposa de Henrique VIII, Catarina de Aragão, é incapaz de dar-lhe um herdeiro ao trono, ele usa esse motivo como pretexto para que o Papa lhe conceda o divórcio e assim, poder se casar com Ana Bolena.",6.818,1988-12-21,"Drama, Cinema TV",125
Zulu,"Em Natal, África do Sul, em 1879, um pequeno regimento britânico de apenas 105 soldados se recusa a abandonar sua posição e resiste bravamente ao ataque de 4000 guerreiros zulus. Baseado em fatos verídicos.",7.392,1964-01-22,"Ação, Drama, História, Guerra",138
007 Contra Goldfinger,"James Bond é encarregado de espionar Goldfinger, um poderoso milionário cujas remessas de ouro espalhadas por diversos países podem esconder ações criminosas. Após ser capturado, Bond descobre que o plano de Goldfinger é bem maior do que ele imaginava: Goldfinger pretende roubar nada mais nada menos do que as reservas americanas de ouro, guardadas no Forte Knox.",7.349,1964-09-20,"Aventura, Ação, Thriller",110
O Mais Longo dos Dias,"A recontagem de 6 de junho de 1944, conhecido com o Dia D, a partir das perspectivas dos alemães, norte-americanos, britânicos, canadenses e franceses livres. O Marechal Erwin Rommel, em turnê pelas defesas que estão sendo estabelecidas como parte da Muralha do Atlântico do Reich, observa a seus oficiais que, quando a invasão dos Aliados chegar, eles deverão ser detidos na praia. ""Tanto para os Aliados quanto para os alemães, será o mais longo dos dias.""",7.584,1962-09-25,"Guerra, Ação, Drama",178
Cabo do Medo,"Quando o advogado Sam Bowden retém provas que poderiam livrar o agressor sexual Max Cady das acusações de estupro, ele passa 14 anos na prisão. Ao ser libertado, Max, sabendo do que o advogado fez, se dedica a perseguir e destruir a família Bowden.",7.3,1991-11-13,"Drama, Crime, Thriller",128
Sete Homens e Um Destino,"Os habitantes de um pequeno vilarejo sofrem com os constantes ataques de um bando de pistoleiros. Revoltada com os saques, Emma Cullen deseja justiça e pede auxílio ao pistoleiro Sam Chisolm, que reúne um grupo de especialistas para contra-atacar os bandidos.",6.462,2016-09-14,"Aventura, Ação, Faroeste",133
O Grande Golpe,"A dona de casa Lorna está cansada de seu marido Dale, um homem agressivo e pouco amoroso, que acaba de roubar um banco. Um dia, com a ajuda de uma amiga, ela assassina Dale. Agora começam os problemas: ela tem que esconder o corpo, e tomar cuidado para não ser descoberta pelos policiais.",5.9,2012-01-04,"Comédia, Thriller, Mistério, Crime",91
Os Invasores de Corpos,"Matthew Bennell ouve a amiga reclamar que o marido anda se comportando estranhamente, mas acredita que sejam apenas problemas conjugais. Porém, ele fica preocupado quando outras pessoas começam a fazer as mesmas observações. Sua desconfiança é confirmada quando um escritor e sua esposa encontram um corpo de um mutante. Diante de um inimigo invisível, Matthew deve agir rapidamente antes que toda a cidade seja atingida.",7.208,1978-12-20,"Ficção científica, Terror",116
A Nave da Revolta,"Durante a 2ª Guerra Mundial Willie Keith (Robert Francis), um jovem oficial, se incorpora à tripulação do Caine, um navio de menor porte que funciona como caça-minas. O imediato Steve Maryk (Van Johnson) e o tenente Tom Keefer (Fred MacMurray) também fazem parte do staff. Logo depois da chegada de Willie, o capitão DeVriess (Tom Tully) é substituído pelo capitão Philip Francis Queeg (Humphrey Bogart), que logo impõe sua autoridade e sua neurose acerca de limpeza, pois é de seu intento comandar um navio imaculado, onde até uma camisa fora de calça é motivo de séria advertência. Esta neurose faz com que ele se distraia e navegue em círculos, além de cortar seu próprio cabo de reboque. Incidentes adicionais indicam que Queeg está sofrendo de stress. Maryk acha estranho o comportamento do capitão e Keefer insidiosamente planta a semente, dizendo que Queeg está próximo de um colapso nervoso. e 10.",7.174,1954-06-24,"Drama, Guerra",124
Depois do Vendaval,"Sean Thornton voltou da América para a Irlanda onde pretende recuperar sua herdade e escapar de seu passado. Mas a atenção de Sean é capturada por Mary Kate Danaher, uma bela mas pobre donzela, e irmã mais nova do mal-humorado ""Red"" Will Danaher. O relacionamento turbulento que se forma entre Sean e Mary Kate, pontuado por tentativas belicosas de Will para mantê-los separados formam a trama principal, com o passado de Sean como boxeador atrapalhando um pouco.",7.308,1952-07-21,"Romance, Comédia, Drama",129
Uma Aventura na Africa,"O African Queen é o pequeno, mas estimado, barco de Charlie (Humphrey Bogart). Durante a Primeira Guerra, na selvagem África, ele assume a responsabilidade de levar a irmã do recém-falecido reverendo Samuel, Rose (Katharine Hepburn), para a civilização, através do rio, utilizando o barco. Mas existem dois problemas: Rose e Charlie não combinam em nada e as margens do rio estão cheias de alemães.",7.354,1952-01-07,"Romance, Aventura, Drama",105
